"","Gender","Age","Educational_Attainment","Industry","Country","Year","Employment_Rate","Population","Industry_name","Country_Name","Educational_Attainment_FullForm","Gender_Pay_Gap","Educational_Field","Educational_Level","sex","Number_of_Student"
"30227","Male","Y20-29","ED5-8","B-N","FR",2019,75.4,4.8,"Business economy","France","Tertiary education (levels 5-8)",10.5,"Engineering and construction","Doctor","M",4988
"30241","Female","Y15-64","ED5-8","C","PL",2020,85,32.6,"Manufacturing","Poland","Tertiary education (levels 5-8)",13.4,"
Mathematics","Master","F",1207
"30250","Male","Y20-29","ED5-8","B-N","DK",2019,79,9.8,"Business economy","Denmark","Tertiary education (levels 5-8)",9.5,"Engineering and construction","Bachelor","M",17468
"30267","Female","Y20-24","ED5-8","E","FI",2017,74.9,6.5,"Water supply; sewerage, waste management and remediation activities","Finland","Tertiary education (levels 5-8)",9.3,"
Mathematics","Doctor","F",44
"30279","Male","Y55-64","ED0-2","B-N","DE",2014,55.5,17.6,"Business economy","Germany","Less than primary, primary and lower secondary education (levels 0-2)",4.9,"Biological science","Bachelor","F",20594
"30286","Female","Y20-24","ED5-8","E","FR",2019,58.7,31.7,"Water supply; sewerage, waste management and remediation activities","France","Tertiary education (levels 5-8)",19.7,"Biological science","Bachelor","M",13291
"30332","Female","Y55-64","ED5-8","N","DK",2013,68.2,21.5,"Administrative and support service activities","Denmark","Tertiary education (levels 5-8)",9.9,"
Information Technologies","Bachelor","M",5261
"30335","Female","Y55-64","ED3_4GEN","M","AT",2021,51.5,32.5,"Professional, scientific and technical activities","Austria","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",15.8,"
Mathematics","Bachelor","F",750
"30339","Female","Y15-64","ED0-2","B","FR",2019,33,22.9,"Mining and quarrying","France","Less than primary, primary and lower secondary education (levels 0-2)",22.5,"Software development","Master","F",0
"30354","Female","Y20-29","ED0-2","G","FR",2014,35.7,16.1,"Wholesale and retail trade; repair of motor vehicles and motorcycles","France","Less than primary, primary and lower secondary education (levels 0-2)",12.8,"
Information Technologies","Doctor","M",2081
"30355","Female","Y15-64","ED0-2","B","FI",2019,33.3,14.9,"Mining and quarrying","Finland","Less than primary, primary and lower secondary education (levels 0-2)",11.8,"
Information Technologies","Master","F",1599
"30357","Female","Y15-64","ED3_4GEN","B-N","DK",2021,66.6,12.5,"Business economy","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",9.5,"Software development","Doctor","F",0
"30384","Male","Y30-54","ED0-2","B-N","FR",2018,73,7.7,"Business economy","France","Less than primary, primary and lower secondary education (levels 0-2)",14.7,"Software development","Master","F",6
"30411","Male","Y15-64","ED5-8","Q","IT",2014,81,32.9,"Human health and social work activities","Italy","Tertiary education (levels 5-8)",28.3,"Biological science","Master","M",3628
"30441","Male","Y55-64","ED3_4GEN","B-N","FI",2021,63.2,17.5,"Business economy","Finland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",10.2,"Engineering and construction","Doctor","M",2238
"30442","Male","Y30-54","ED3_4GEN","B-N","AT",2021,81.8,9.3,"Business economy","Austria","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",6.9,"Software development","Doctor","M",0
"30448","Female","Y15-64","ED0-2","B","DE",2015,41.6,20.8,"Mining and quarrying","Germany","Less than primary, primary and lower secondary education (levels 0-2)",27.8,"Software development","Bachelor","F",11224
"30453","Male","Y55-64","ED0-2","B-N","UK",2015,55.6,7.6,"Business economy","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)",13.5,"Engineering and construction","Master","F",11027
"30457","Male","Y15-64","ED0-2","O","FI",2017,43.1,52.9,"Public administration and defence; compulsory social security","Finland","Less than primary, primary and lower secondary education (levels 0-2)",16.2,"
Information Technologies","Master","M",4241
"30496","Male","Y20-29","ED3_4GEN","B-N","UK",2014,70,5.6,"Business economy","United Kingdom","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",7.5,"Engineering and construction","Doctor","F",4252
"30503","Female","Y15-64","ED0-2","B","IT",2017,29.8,38.6,"Mining and quarrying","Italy","Less than primary, primary and lower secondary education (levels 0-2)",5.7,"Engineering and construction","Master","F",36709
"30532","Female","Y20-24","ED0-2","D","NL",2016,55.9,16.6,"Electricity, gas, steam and air conditioning supply","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)",17.5,"Biological science","Master","F",3059
"30546","Male","Y55-64","ED0-2","B-N","AT",2014,37.6,27.4,"Business economy","Austria","Less than primary, primary and lower secondary education (levels 0-2)",23.8,"
Information Technologies","Doctor","F",164
"30556","Male","Y30-54","ED5-8","B-N","PL",2013,94.1,44.3,"Business economy","Poland","Tertiary education (levels 5-8)",3.4,"
Information Technologies","Doctor","F",18
"30625","Male","Y20-29","ED3_4GEN","B-N","PL",2018,59.4,6,"Business economy","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",12.7,"
Mathematics","Bachelor","M",2745
"30640","Female","Y20-24","ED5-8","F","IE",2019,80.8,34.2,"Construction","Ireland","Tertiary education (levels 5-8)",18.5,"Engineering and construction","Master","M",1496
"30641","Male","Y15-64","ED0-2","O","FI",2016,43.3,54.7,"Public administration and defence; compulsory social security","Finland","Less than primary, primary and lower secondary education (levels 0-2)",17.1,"
Mathematics","Bachelor","F",1011
"30644","Female","Y20-29","ED5-8","I","FR",2019,74.2,47.2,"Accommodation and food service activities","France","Tertiary education (levels 5-8)",9.9,"
Mathematics","Master","M",80
"30673","Female","Y55-64","ED0-2","L","FI",2016,40.2,35.9,"Real estate activities","Finland","Less than primary, primary and lower secondary education (levels 0-2)",1.4,"Software development","Master","F",0
"30699","Female","Y30-54","ED0-2","J","DK",2021,56.1,17.4,"Information and communication","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",-0.5,"Management and administration","Doctor","F",0
"30713","Female","Y20-24","ED3_4GEN","E","FI",2017,56.1,45.6,"Water supply; sewerage, waste management and remediation activities","Finland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",12.5,"Biological science","Bachelor","F",1515
"30725","Male","Y20-24","ED5-8","B-N","FI",2015,57.2,13.1,"Business economy","Finland","Tertiary education (levels 5-8)",15,"Biological science","Bachelor","F",1561
"30744","Female","Y15-64","ED0-2","B","NL",2015,49.4,28.5,"Mining and quarrying","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)",5.6,"Management and administration","Bachelor","F",36716
"30746","Male","Y15-64","ED0-2","O","DE",2016,52.1,12.9,"Public administration and defence; compulsory social security","Germany","Less than primary, primary and lower secondary education (levels 0-2)",26.2,"Management and administration","Doctor","M",0
"30756","Male","Y20-24","ED0-2","R","NL",2021,70.8,35.4,"Arts, entertainment and recreation","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)",11.9,"Engineering and construction","Bachelor","M",45151
"30790","Female","Y20-29","ED3_4GEN","H","DK",2017,66.2,7.5,"Transportation and storage","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",8.8,"Management and administration","Master","M",1571
"30794","Male","Y15-64","ED0-2","O","FR",2020,44.7,10.9,"Public administration and defence; compulsory social security","France","Less than primary, primary and lower secondary education (levels 0-2)",22,"Engineering and construction","Bachelor","F",32022
"30808","Male","Y15-64","ED0-2","O","AT",2020,52.6,43.6,"Public administration and defence; compulsory social security","Austria","Less than primary, primary and lower secondary education (levels 0-2)",12.9,"
Information Technologies","Doctor","M",787
"30809","Male","Y15-64","ED5-8","Q","UK",2017,88.9,5.2,"Human health and social work activities","United Kingdom","Tertiary education (levels 5-8)",10,"Biological science","Doctor","M",6044
"30817","Male","Y20-24","ED0-2","R","DK",2021,66.4,22.3,"Arts, entertainment and recreation","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",9.6,"Biological science","Master","F",2347
"30819","Male","Y15-64","ED0-2","P","UK",2017,67.1,87.1,"Education","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)",12.2,"
Mathematics","Bachelor","F",12622
"30822","Female","Y20-29","ED0-2","G","NL",2018,53.6,14.5,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)",23.3,"Biological science","Master","M",2508
"30837","Male","Y20-29","ED0-2","B-N","FI",2016,42.2,10.7,"Business economy","Finland","Less than primary, primary and lower secondary education (levels 0-2)",1.4,"Management and administration","Doctor","F",0
"30840","Female","Y15-64","ED0-2","B-N","PL",2019,16.4,12.5,"Business economy","Poland","Less than primary, primary and lower secondary education (levels 0-2)",18.8,"Software development","Doctor","M",419
"30874","Female","Y15-64","ED5-8","C","PL",2018,84.4,30.1,"Manufacturing","Poland","Tertiary education (levels 5-8)",-0.4,"
Information Technologies","Master","M",9908
"30877","Male","Y20-24","ED3_4GEN","B-N","DK",2016,60,9.3,"Business economy","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",10.7,"Management and administration","Bachelor","F",6987
"30906","Male","Y55-64","ED0-2","B-N","FI",2014,46.1,18.2,"Business economy","Finland","Less than primary, primary and lower secondary education (levels 0-2)",15.3,"Engineering and construction","Doctor","M",2825
"30909","Female","Y55-64","ED0-2","L","AT",2019,31.9,31,"Real estate activities","Austria","Less than primary, primary and lower secondary education (levels 0-2)",20.9,"
Mathematics","Master","M",367
"30911","Male","Y55-64","ED3_4GEN","B-N","FR",2021,60.4,16.4,"Business economy","France","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",16.4,"Engineering and construction","Bachelor","M",70082
"30977","Female","Y55-64","ED0-2","L","DE",2018,49.7,4.7,"Real estate activities","Germany","Less than primary, primary and lower secondary education (levels 0-2)",24,"Engineering and construction","Bachelor","F",91801
"30986","Female","Y20-29","ED0-2","G","FR",2016,30.3,15.2,"Wholesale and retail trade; repair of motor vehicles and motorcycles","France","Less than primary, primary and lower secondary education (levels 0-2)",14.4,"Biological science","Doctor","M",3393
"30988","Female","Y20-29","ED5-8","I","IT",2021,51.6,25.7,"Accommodation and food service activities","Italy","Tertiary education (levels 5-8)",21,"Engineering and construction","Bachelor","M",142274
"30997","Male","Y15-64","ED5-8","Q","FI",2013,86.3,17.4,"Human health and social work activities","Finland","Tertiary education (levels 5-8)",22.5,"
Information Technologies","Bachelor","M",18618
"31042","Male","Y20-24","ED0-2","B-N","UK",2016,59.4,62.6,"Business economy","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)",20.4,"Biological science","Bachelor","M",66828
"31064","Male","Y15-64","ED0-2","P","NL",2020,66.7,62.1,"Education","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)",17.4,"Management and administration","Bachelor","F",37852
"31082","Male","Y20-24","ED5-8","B-N","PL",2021,55.6,24.7,"Business economy","Poland","Tertiary education (levels 5-8)",-10.5,"Management and administration","Doctor","F",426
"31084","Male","Y55-64","ED0-2","B-N","NL",2020,69.2,58.3,"Business economy","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)",25.1,"
Information Technologies","Bachelor","M",26421
"31087","Female","Y20-29","ED5-8","H","DE",2016,81.6,43.1,"Transportation and storage","Germany","Tertiary education (levels 5-8)",30.6,"Software development","Master","F",4250
"31088","Female","Y20-24","ED0-2","D","PL",2015,17.7,6.4,"Electricity, gas, steam and air conditioning supply","Poland","Less than primary, primary and lower secondary education (levels 0-2)",27.5,"
Mathematics","Doctor","M",332
"31095","Male","Y55-64","ED0-2","B-N","AT",2019,43.8,35.5,"Business economy","Austria","Less than primary, primary and lower secondary education (levels 0-2)",4.9,"
Information Technologies","Master","F",957
"31102","Male","Y20-24","ED5-8","B-N","FI",2018,68.8,16,"Business economy","Finland","Tertiary education (levels 5-8)",30.4,"
Mathematics","Bachelor","M",1364
"31110","Male","Y15-64","ED5-8","Q","PL",2019,92.7,35.6,"Human health and social work activities","Poland","Tertiary education (levels 5-8)",-5.5,"Management and administration","Bachelor","M",58339
"31115","Female","Y55-64","ED5-8","N","EL",2018,44.1,48.7,"Administrative and support service activities","Greece","Tertiary education (levels 5-8)",5,"Software development","Doctor","M",339
"31130","Male","Y20-29","ED5-8","B-N","DE",2018,84.6,11.8,"Business economy","Germany","Tertiary education (levels 5-8)",4.4,"Software development","Bachelor","M",67195
"31140","Male","Y20-29","ED3_4GEN","B-N","PL",2016,55.8,5.8,"Business economy","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",-4.5,"Engineering and construction","Master","F",20577
"31143","Female","Y30-54","ED0-2","J","PL",2020,45.9,7.5,"Information and communication","Poland","Less than primary, primary and lower secondary education (levels 0-2)",6.8,"Software development","Master","M",3945
"31148","Male","Y55-64","ED0-2","B-N","UK",2018,62.8,6,"Business economy","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)",21.9,"Engineering and construction","Bachelor","M",118470
"31160","Female","Y15-64","ED0-2","B","PL",2016,16.4,14,"Mining and quarrying","Poland","Less than primary, primary and lower secondary education (levels 0-2)",30.4,"Biological science","Master","F",3869
"31162","Female","Y55-64","ED5-8","N","DK",2013,68.2,21.5,"Administrative and support service activities","Denmark","Tertiary education (levels 5-8)",9.9,"
Information Technologies","Master","M",3062
"31184","Male","Y20-29","ED5-8","B-N","AT",2014,75.6,4.9,"Business economy","Austria","Tertiary education (levels 5-8)",22.9,"Biological science","Doctor","M",430
"31188","Male","Y55-64","ED5-8","B-N","FR",2021,74.2,36.6,"Business economy","France","Tertiary education (levels 5-8)",16.8,"
Mathematics","Master","M",179
"31209","Male","Y15-64","ED0-2","O","DK",2016,58.1,16.1,"Public administration and defence; compulsory social security","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",10.7,"Engineering and construction","Doctor","F",717
"31220","Female","Y20-24","ED5-8","E","EL",2018,41.2,15.2,"Water supply; sewerage, waste management and remediation activities","Greece","Tertiary education (levels 5-8)",9.9,"Biological science","Bachelor","M",2830
"31222","Male","Y55-64","ED0-2","B-N","PL",2021,53.2,16.5,"Business economy","Poland","Less than primary, primary and lower secondary education (levels 0-2)",12.9,"
Mathematics","Bachelor","M",2977
"31223","Male","Y20-24","ED0-2","R","FI",2018,33.8,44,"Arts, entertainment and recreation","Finland","Less than primary, primary and lower secondary education (levels 0-2)",10.7,"Engineering and construction","Doctor","M",2363
"31240","Male","Y55-64","ED5-8","B-N","FR",2020,72.1,36.3,"Business economy","France","Tertiary education (levels 5-8)",13.5,"Management and administration","Master","F",40970
"31244","Female","Y15-64","ED3_4GEN","B-N","FI",2021,61,9.5,"Business economy","Finland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",10.7,"
Mathematics","Doctor","F",38
"31267","Male","Y15-64","ED5-8","P","DE",2021,90.6,17.4,"Education","Germany","Tertiary education (levels 5-8)",2.2,"Biological science","Doctor","F",8606
"31274","Male","Y20-24","ED3_4GEN","B-N","PL",2014,37.4,21.7,"Business economy","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",20.9,"Engineering and construction","Master","F",20166
"31295","Male","Y15-64","ED0-2","O","FR",2018,45.1,9.5,"Public administration and defence; compulsory social security","France","Less than primary, primary and lower secondary education (levels 0-2)",18.3,"
Information Technologies","Doctor","M",1999
"31296","Male","Y20-24","ED0-2","R","IT",2020,40.4,29.8,"Arts, entertainment and recreation","Italy","Less than primary, primary and lower secondary education (levels 0-2)",16.4,"Engineering and construction","Master","M",69966
"31314","Male","Y20-24","ED5-8","B-N","FI",2021,75.8,18.5,"Business economy","Finland","Tertiary education (levels 5-8)",13,"
Information Technologies","Master","F",1919
"31383","Female","Y55-64","ED0-2","L","AT",2013,26.6,47.6,"Real estate activities","Austria","Less than primary, primary and lower secondary education (levels 0-2)",23.8,"
Information Technologies","Master","F",622
"31421","Female","Y20-24","ED5-8","F","NL",2020,74,22.7,"Construction","Netherlands","Tertiary education (levels 5-8)",19.4,"Engineering and construction","Bachelor","F",12169
"31432","Female","Y20-24","ED3_4GEN","D","DK",2020,69.2,60.8,"Electricity, gas, steam and air conditioning supply","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",14.1,"Biological science","Doctor","M",0
"31447","Male","Y20-29","ED0-2","B-N","FI",2018,44.6,11.6,"Business economy","Finland","Less than primary, primary and lower secondary education (levels 0-2)",14,"Management and administration","Doctor","F",0
"31459","Female","Y20-29","ED0-2","F","DK",2017,39.4,16.8,"Construction","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",5.5,"
Information Technologies","Master","M",3063
"31477","Female","Y55-64","ED0-2","L","AT",2016,28.5,51.7,"Real estate activities","Austria","Less than primary, primary and lower secondary education (levels 0-2)",22.3,"
Information Technologies","Bachelor","F",2048
"31498","Male","Y15-64","ED5-8","P","DK",2021,89.7,22.8,"Education","Denmark","Tertiary education (levels 5-8)",4.8,"
Information Technologies","Bachelor","F",1455
"31513","Female","Y20-29","ED0-2","F","DE",2021,48.1,12.5,"Construction","Germany","Less than primary, primary and lower secondary education (levels 0-2)",20.9,"
Information Technologies","Bachelor","F",39802
"31517","Male","Y20-29","ED0-2","B-N","NL",2018,69.5,47.9,"Business economy","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)",15,"Engineering and construction","Doctor","M",1474
"31573","Male","Y15-64","ED5-8","Q","FR",2021,86.3,44.4,"Human health and social work activities","France","Tertiary education (levels 5-8)",18.7,"
Information Technologies","Master","F",7706
"31603","Female","Y20-24","ED3_4GEN","D","DE",2015,48.3,30,"Electricity, gas, steam and air conditioning supply","Germany","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",11.8,"Management and administration","Bachelor","M",21248
"31604","Female","Y20-24","ED0-2","C","DE",2021,51.7,19.8,"Manufacturing","Germany","Less than primary, primary and lower secondary education (levels 0-2)",21.4,"
Information Technologies","Doctor","F",1457
"31607","Male","Y20-29","ED5-8","B-N","AT",2020,77.5,5.4,"Business economy","Austria","Tertiary education (levels 5-8)",26.2,"Biological science","Doctor","M",340
"31611","Female","Y20-29","ED0-2","F","AT",2018,50.8,12.4,"Construction","Austria","Less than primary, primary and lower secondary education (levels 0-2)",8.1,"
Mathematics","Doctor","M",233
"31615","Female","Y20-24","ED0-2","C","DK",2016,45.9,22,"Manufacturing","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",1.9,"Biological science","Bachelor","F",3634
"31642","Male","Y20-29","ED3_4GEN","B-N","AT",2021,51,28.3,"Business economy","Austria","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",27,"
Mathematics","Bachelor","M",1487
"31653","Female","Y20-29","ED0-2","F","DK",2017,39.4,16.8,"Construction","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",19.3,"Software development","Master","M",0
"31657","Male","Y15-64","ED0-2","O","DK",2018,57.2,16.8,"Public administration and defence; compulsory social security","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",3.9,"Engineering and construction","Master","M",4850
"31667","Female","Y20-24","ED0-2","C","AT",2020,54.2,9.7,"Manufacturing","Austria","Less than primary, primary and lower secondary education (levels 0-2)",27.7,"Management and administration","Bachelor","F",5889
"31684","Male","Y20-24","ED3_4GEN","B-N","DK",2014,60.8,12,"Business economy","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",11,"
Information Technologies","Bachelor","F",1634
"31685","Female","Y20-29","ED3_4GEN","H","NL",2015,65.3,20.8,"Transportation and storage","Netherlands","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",19.2,"Engineering and construction","Bachelor","F",8648
"31699","Female","Y30-54","ED5-8","K","IE",2018,83.6,41.9,"Financial and insurance activities","Ireland","Tertiary education (levels 5-8)",32.1,"
Mathematics","Doctor","F",20
"31760","Female","Y20-24","ED0-2","C","DK",2020,40.5,19.6,"Manufacturing","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",18.1,"Biological science","Doctor","F",0
"31788","Female","Y20-29","ED3_4GEN","H","PL",2021,40.2,12.1,"Transportation and storage","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",14.8,"
Mathematics","Master","M",771
"31794","Female","Y20-24","ED5-8","F","IT",2018,25.3,8.9,"Construction","Italy","Tertiary education (levels 5-8)",14.1,"Engineering and construction","Bachelor","F",45901
"31801","Female","Y20-29","ED5-8","I","PL",2017,76.8,35.9,"Accommodation and food service activities","Poland","Tertiary education (levels 5-8)",25.5,"
Information Technologies","Master","F",2103
"31852","Female","Y55-64","ED0-2","L","DK",2021,50.1,31.8,"Real estate activities","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",17.1,"
Information Technologies","Bachelor","M",6239
"31855","Male","Y15-64","ED5-8","Q","PL",2019,92.7,35.6,"Human health and social work activities","Poland","Tertiary education (levels 5-8)",8.4,"Software development","Bachelor","M",22443
"31861","Male","Y20-24","ED5-8","B-N","FR",2017,60.7,10.5,"Business economy","France","Tertiary education (levels 5-8)",23.2,"
Information Technologies","Master","F",5840
"31865","Male","Y20-24","ED5-8","B-N","DK",2017,76.2,11.5,"Business economy","Denmark","Tertiary education (levels 5-8)",8.8,"Software development","Doctor","F",0
"31897","Male","Y20-24","ED0-2","R","PL",2018,43,25,"Arts, entertainment and recreation","Poland","Less than primary, primary and lower secondary education (levels 0-2)",-8.7,"
Mathematics","Bachelor","M",2745
"31902","Male","Y30-54","ED5-8","B-N","FR",2018,92.5,28.8,"Business economy","France","Tertiary education (levels 5-8)",-1.8,"
Mathematics","Master","F",43
"31906","Female","Y20-24","ED0-2","C","FI",2019,29.2,11.5,"Manufacturing","Finland","Less than primary, primary and lower secondary education (levels 0-2)",10,"Biological science","Doctor","F",390
"31914","Male","Y20-29","ED3_4GEN","B-N","DK",2018,65.6,21,"Business economy","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",19.4,"
Information Technologies","Master","F",1692
"31930","Female","Y15-64","ED5-8","B-N","IT",2021,76.4,20.1,"Business economy","Italy","Tertiary education (levels 5-8)",3.2,"Engineering and construction","Doctor","F",2737
"31996","Female","Y55-64","ED5-8","O","UK",2017,63.4,7.8,"Public administration and defence; compulsory social security","United Kingdom","Tertiary education (levels 5-8)",26.2,"
Information Technologies","Doctor","F",1304
"32012","Male","Y15-64","ED0-2","O","DE",2016,52.1,12.9,"Public administration and defence; compulsory social security","Germany","Less than primary, primary and lower secondary education (levels 0-2)",13.2,"
Mathematics","Bachelor","M",20405
"32024","Female","Y30-54","ED0-2","J","IT",2020,39.8,37.8,"Information and communication","Italy","Less than primary, primary and lower secondary education (levels 0-2)",13.3,"
Information Technologies","Bachelor","F",3902
"32053","Female","Y15-64","ED5-8","C","NL",2016,84.8,29.9,"Manufacturing","Netherlands","Tertiary education (levels 5-8)",16.6,"Software development","Master","F",345
"32082","Female","Y20-24","ED5-8","E","AT",2019,68.8,9.4,"Water supply; sewerage, waste management and remediation activities","Austria","Tertiary education (levels 5-8)",11.9,"Management and administration","Master","F",6114
"32087","Male","Y30-54","ED5-8","B-N","FI",2019,92.9,34.1,"Business economy","Finland","Tertiary education (levels 5-8)",10,"
Mathematics","Doctor","M",109
"32091","Female","Y20-24","ED3_4GEN","D","DK",2021,65.9,62.3,"Electricity, gas, steam and air conditioning supply","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",4.8,"
Information Technologies","Doctor","M",0
"32125","Male","Y20-29","ED5-8","B-N","IT",2019,46.2,8.9,"Business economy","Italy","Tertiary education (levels 5-8)",9.1,"Software development","Doctor","F",0
"32132","Female","Y55-64","ED5-8","N","FR",2018,62.7,60.6,"Administrative and support service activities","France","Tertiary education (levels 5-8)",14.7,"
Mathematics","Master","F",43
"32140","Female","Y20-29","ED5-8","H","DE",2020,80.3,27.2,"Transportation and storage","Germany","Tertiary education (levels 5-8)",7.7,"Software development","Bachelor","M",73544
"32145","Male","Y20-24","ED5-8","B-N","FR",2015,57.1,9.4,"Business economy","France","Tertiary education (levels 5-8)",14.9,"Software development","Master","M",0
"32195","Female","Y20-24","ED5-8","F","UK",2018,77.7,27.6,"Construction","United Kingdom","Tertiary education (levels 5-8)",23.6,"Software development","Master","M",0
"32221","Female","Y55-64","ED0-2","L","EL",2018,28,7.1,"Real estate activities","Greece","Less than primary, primary and lower secondary education (levels 0-2)",23.6,"Software development","Master","M",768
"32223","Male","Y20-24","ED5-8","B-N","UK",2016,77.6,2.5,"Business economy","United Kingdom","Tertiary education (levels 5-8)",33.8,"
Information Technologies","Bachelor","F",11158
"32235","Male","Y20-29","ED3_4GEN","B-N","PL",2021,58.5,8.1,"Business economy","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",16.5,"
Mathematics","Master","M",771
"32289","Male","Y15-64","ED0-2","O","DK",2021,58.8,38.6,"Public administration and defence; compulsory social security","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",13,"Biological science","Bachelor","M",1919
"32315","Male","Y20-24","ED0-2","R","DE",2016,60.3,11.1,"Arts, entertainment and recreation","Germany","Less than primary, primary and lower secondary education (levels 0-2)",13.2,"
Mathematics","Doctor","M",0
"32324","Female","Y20-24","ED3_4GEN","D","AT",2019,45.2,23.2,"Electricity, gas, steam and air conditioning supply","Austria","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",17.4,"
Mathematics","Bachelor","M",1483
"32327","Female","Y20-29","ED3_4GEN","H","DK",2015,66.6,6.5,"Transportation and storage","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",9.1,"
Mathematics","Master","F",157
"32347","Male","Y55-64","ED0-2","B-N","FR",2017,42.4,16,"Business economy","France","Less than primary, primary and lower secondary education (levels 0-2)",11.1,"
Information Technologies","Doctor","M",1939
"32355","Female","Y30-54","ED0-2","J","DK",2021,56.1,17.4,"Information and communication","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",13,"Engineering and construction","Doctor","F",737
"32377","Male","Y55-64","ED0-2","B-N","NL",2016,63,22,"Business economy","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)",11.3,"Engineering and construction","Bachelor","F",9389
"32381","Male","Y20-24","ED3_4GEN","B-N","IT",2019,13.6,12.4,"Business economy","Italy","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",58.3,"
Mathematics","Doctor","F",260
"32398","Male","Y20-29","ED0-2","B-N","NL",2021,74.5,49,"Business economy","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)",24.1,"Software development","Bachelor","F",3057
"32411","Male","Y30-54","ED5-8","B-N","FR",2021,92.7,30.8,"Business economy","France","Tertiary education (levels 5-8)",10.8,"Software development","Doctor","M",0
"32435","Male","Y20-24","ED5-8","B-N","DK",2017,76.2,11.5,"Business economy","Denmark","Tertiary education (levels 5-8)",9.8,"
Information Technologies","Doctor","M",0
"32437","Female","Y20-24","ED0-2","C","DK",2015,37.2,22,"Manufacturing","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",10.7,"Engineering and construction","Doctor","M",1474
"32443","Male","Y55-64","ED0-2","B-N","IE",2018,59.6,15.6,"Business economy","Ireland","Less than primary, primary and lower secondary education (levels 0-2)",18,"Biological science","Bachelor","M",3161
"32446","Male","Y30-54","ED3_4GEN","B-N","FI",2021,80.8,19.2,"Business economy","Finland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",10.7,"Biological science","Master","F",961
"32477","Female","Y20-29","ED3_4GEN","H","PL",2021,40.2,12.1,"Transportation and storage","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",15.1,"Software development","Doctor","M",269
"32478","Male","Y30-54","ED5-8","B-N","AT",2021,93.3,14.5,"Business economy","Austria","Tertiary education (levels 5-8)",22.6,"
Mathematics","Bachelor","M",1487
"32480","Female","Y20-29","ED0-2","G","UK",2016,46.5,16,"Wholesale and retail trade; repair of motor vehicles and motorcycles","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)",12,"
Information Technologies","Bachelor","F",11158
